checkpoint,seed,num_layers,destination,through,destination_max_layer,source,blocked_prefix_max_layer,blocked_layers,exact_drop_from_clean,n_examples,exact_answer_accuracy,o0_token_accuracy,o1_token_accuracy,max_forbidden_attn_weight
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,7,L0-L7,0.015292190060076427,1831,0.9721463681048608,0.977607864554888,0.9825232113599126,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,8,L0-L8,0.04205352266521023,1831,0.945385035499727,0.9568541780447842,0.9601310759148006,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,9,L0-L9,0.04751501911523759,1831,0.9399235390496996,0.9519388312397596,0.9546695794647734,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,1,L0-L1,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,2,L0-L2,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,3,L0-L3,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,4,L0-L4,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,5,L0-L5,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,6,L0-L6,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,7,L0-L7,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,8,L0-L8,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tag,9,L0-L9,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,1,L0-L1,-0.0005461496450027692,1831,0.98798470780994,0.9934462042599672,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,2,L0-L2,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,3,L0-L3,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,4,L0-L4,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,5,L0-L5,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,6,L0-L6,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,7,L0-L7,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,8,L0-L8,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_tens,9,L0-L9,0.0,1831,0.9874385581649372,0.9929000546149646,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,1,L0-L1,0.07864554888039321,1831,0.908793009284544,0.9344620425996724,0.9399235390496996,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,2,L0-L2,0.13599126160567998,1831,0.8514472965592572,0.8902239213544512,0.9077007099945386,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,3,L0-L3,0.14800655379574001,1831,0.8394320043691972,0.8809393773894046,0.9022392135445112,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,4,L0-L4,0.15182960131075918,1831,0.835608956854178,0.8771163298743856,0.9000546149645002,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,5,L0-L5,0.1545603495357728,1831,0.8328782086291644,0.8732932823593664,0.898416166029492,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,6,L0-L6,0.15729109776078642,1831,0.8301474604041508,0.87001638448935,0.898416166029492,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,7,L0-L7,0.16657564172583283,1831,0.8208629164391044,0.8612779901693064,0.8951392681594756,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,8,L0-L8,0.17422173675587116,1831,0.813216821409066,0.8525395958492626,0.8935008192244676,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,B_ones,9,L0-L9,0.1796832332058984,1831,0.8077553249590388,0.8470780993992354,0.8913162206444566,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,1,L0-L1,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,2,L0-L2,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,3,L0-L3,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,4,L0-L4,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,5,L0-L5,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,6,L0-L6,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,7,L0-L7,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,8,L0-L8,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_tag,9,L0-L9,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,1,L0-L1,0.08028399781540141,1831,0.9071545603495358,0.9224467504096122,0.9448388858547242,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,2,L0-L2,0.0977607864554888,1831,0.8896777717094484,0.908793009284544,0.9344620425996724,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,3,L0-L3,0.11250682687056257,1831,0.8749317312943746,0.894593118514473,0.9279082468596396,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,4,L0-L4,0.12124522119060621,1831,0.866193336974331,0.8847624249044238,0.9240851993446204,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,5,L0-L5,0.16329874385581655,1831,0.8241398143091206,0.843801201529219,0.9158929546695794,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,6,L0-L6,0.1796832332058984,1831,0.8077553249590388,0.8285090114691426,0.914800655379574,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,7,L0-L7,0.18569087930092842,1831,0.8017476788640088,0.8225013653741126,0.9120699071545604,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,8,L0-L8,0.19661387220098303,1831,0.7908246859639542,0.813216821409066,0.9109776078645548,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,D_ones,9,L0-L9,0.19770617149098857,1831,0.7897323866739486,0.8115783724740578,0.9093391589295466,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,1,L0-L1,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,2,L0-L2,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,3,L0-L3,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,4,L0-L4,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,5,L0-L5,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,6,L0-L6,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,7,L0-L7,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,8,L0-L8,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_tag,9,L0-L9,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_hundreds,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_hundreds,1,L0-L1,0.016930638995084624,1831,0.9705079191698526,0.9929000546149646,0.9732386673948662,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[1],ROOT,9,N_hundreds,2,L0-L2,0.06444565811032221,1831,0.922992900054615,0.9929000546149646,0.9257236482796286,0.0
