checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_hundreds,NdivBpowD,N / B^D,-0.2414220884534298,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.23979855533227026,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5688624835415158,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tens,BpowD,B^D,-0.0712793628936497,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tens,NdivBpowD,N / B^D,-0.15792131667713205,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tens,floorNdivBpowD,floor(N / B^D),-0.1569829600741544,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.369388381924786,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_ones,BpowD,B^D,-0.08417027848967554,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_ones,NdivBpowD,N / B^D,-0.09974058730841558,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_ones,floorNdivBpowD,floor(N / B^D),-0.09953943260984333,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.20065300803557454,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tag,BpowD,B^D,-0.09721712322202195,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tag,NdivBpowD,N / B^D,-0.1645261562283707,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tag,floorNdivBpowD,floor(N / B^D),-0.16400145743122066,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.32803101079765223,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tens,BpowD,B^D,-0.12618620525471386,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tens,NdivBpowD,N / B^D,-0.16864459838603912,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tens,floorNdivBpowD,floor(N / B^D),-0.16883539964811312,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.09141575054911719,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_ones,BpowD,B^D,-0.061321884928170145,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_ones,NdivBpowD,N / B^D,-0.18281373393202735,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_ones,floorNdivBpowD,floor(N / B^D),-0.18299622805816423,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.0014389945850153741,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_tag,BpowD,B^D,-0.12503330757301628,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_tag,NdivBpowD,N / B^D,-0.18990999916672094,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_tag,floorNdivBpowD,floor(N / B^D),-0.19006355921696172,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,0.001652804007752051,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_ones,BpowD,B^D,0.9991126477586253,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_ones,NdivBpowD,N / B^D,0.9865643635337882,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_ones,floorNdivBpowD,floor(N / B^D),0.9865721420853815,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5508142528489838,3848,5
