target,target_label,representation_index,layer_label,stream,n_seeds,mean_cv_r2,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
NdivBpowD,N / B^D,6,5,N_tens,3,-0.2375135946563093,-0.264412905096845,-0.2230186946901084
NdivBpowD,N / B^D,6,5,O[0],3,0.8782759832167946,0.8319772551248666,0.9080727638672036
NdivBpowD,N / B^D,6,5,O[1],3,0.8259776147958199,0.7975767084642588,0.8518142631119939
NdivBpowD,N / B^D,7,6,B_ones,3,-0.16357777673636256,-0.18862704687038856,-0.13839694202941258
NdivBpowD,N / B^D,7,6,B_tag,3,-0.21996802990239409,-0.2723317809805158,-0.164526160543488
NdivBpowD,N / B^D,7,6,B_tens,3,-0.17428807975707658,-0.1919241555182906,-0.16064413913483172
NdivBpowD,N / B^D,7,6,D_ones,3,0.959813234996138,0.9481854351958307,0.9773523351405696
NdivBpowD,N / B^D,7,6,D_tag,3,-0.16322067707028173,-0.1715686073059035,-0.15224986233306614
NdivBpowD,N / B^D,7,6,N_hundreds,3,-0.2179679232783572,-0.24142208845343002,-0.18644173729680177
NdivBpowD,N / B^D,7,6,N_ones,3,-0.15747163524970623,-0.22458191912948547,-0.09757921179959328
NdivBpowD,N / B^D,7,6,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,7,6,N_tens,3,-0.23719326748193895,-0.28218014750898496,-0.1649867498399912
NdivBpowD,N / B^D,7,6,O[0],3,0.8632417198953748,0.8218552669000948,0.8943911736643422
NdivBpowD,N / B^D,7,6,O[1],3,0.8128524561097321,0.7909739905003738,0.8385307817262776
NdivBpowD,N / B^D,8,7,B_ones,3,-0.1605527140573451,-0.1776461743410064,-0.13776728435361582
NdivBpowD,N / B^D,8,7,B_tag,3,-0.19933888592221857,-0.22243323836552298,-0.1570136218567701
NdivBpowD,N / B^D,8,7,B_tens,3,-0.17145070529924586,-0.18291238342173424,-0.16212341585482742
NdivBpowD,N / B^D,8,7,D_ones,3,0.958491167368939,0.9508175238836047,0.9733790066796505
NdivBpowD,N / B^D,8,7,D_tag,3,-0.16544906262510506,-0.1772909280622926,-0.15701508293077557
NdivBpowD,N / B^D,8,7,N_hundreds,3,-0.23720639805697563,-0.2441571616326567,-0.22603994408484004
NdivBpowD,N / B^D,8,7,N_ones,3,-0.20404543003089648,-0.27990456225879223,-0.10748674821841979
NdivBpowD,N / B^D,8,7,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,8,7,N_tens,3,-0.17637189476120238,-0.22549602580563124,-0.0990056194374418
NdivBpowD,N / B^D,8,7,O[0],3,0.8478220435261693,0.8066042853706182,0.8828345691583929
NdivBpowD,N / B^D,8,7,O[1],3,0.7972358280402556,0.7799338608553272,0.8199870206104434
