checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.030170505118139724,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_tag,BpowD,B^D,-0.08181727096264532,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_tag,NdivBpowD,N / B^D,-0.1799810382388042,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_tag,floorNdivBpowD,floor(N / B^D),-0.18011760949210665,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.05713832136745563,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_ones,BpowD,B^D,0.9980138248369566,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_ones,NdivBpowD,N / B^D,0.9872690396335491,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_ones,floorNdivBpowD,floor(N / B^D),0.9872789720244197,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5431726517972424,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[0],BpowD,B^D,0.7298529266352203,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[0],NdivBpowD,N / B^D,0.8417322103856847,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[0],floorNdivBpowD,floor(N / B^D),0.8418484974472176,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.47749991425382793,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[1],BpowD,B^D,0.5673699565606788,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[1],NdivBpowD,N / B^D,0.700857126768412,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[1],floorNdivBpowD,floor(N / B^D),0.701111313507855,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.8527130045586778,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tag,BpowD,B^D,-0.13046239733120935,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tag,NdivBpowD,N / B^D,-0.29309006550487654,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tag,floorNdivBpowD,floor(N / B^D),-0.29152325156489406,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6378409576863857,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_hundreds,BpowD,B^D,-0.039884269922321504,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_hundreds,NdivBpowD,N / B^D,-0.16652579612150548,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.16539561240475947,3677,5
