target,target_label,representation_index,layer_label,stream,n_seeds,mean_positive_fraction_remaining_gap_closed,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile,seed_values,mean_init_cv_r2,mean_trained_cv_r2
BpowD,B^D,9,8,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,10,9,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,0,input,N_tens,3,5.487653782762848e-17,0.0,8.905149012081915e-17,0:0.000000;42:0.000000;1337:0.000000,-0.10882782250254086,-0.10882782250254079
BpowD,B^D,1,0,N_tens,3,0.00932047635562743,0.0,0.027961429066882287,0:0.027961;42:0.000000;1337:0.000000,-0.07584599745798042,-0.07503921050495764
BpowD,B^D,2,1,N_tens,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.0727833364586664,-0.08518521642901904
BpowD,B^D,3,2,N_tens,3,0.009320476355684091,0.0,0.027961429067044578,0:0.027961;42:0.000000;1337:0.000000,-0.07971165933592256,-0.08921213743857688
BpowD,B^D,4,3,N_tens,3,0.021880158951177214,0.014985843839059742,0.02987129540188051,0:0.029871;42:0.014986;1337:0.020783,-0.0994841927569281,-0.0754027439256212
BpowD,B^D,5,4,N_tens,3,0.009184010812985421,0.0,0.022125676690128594,0:0.000000;42:0.005426;1337:0.022126,-0.08911060509002554,-0.08445511335347132
BpowD,B^D,6,5,N_tens,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.07187896241573394,-0.08840898670724662
BpowD,B^D,7,6,N_tens,3,0.01129838036382069,0.0,0.03389514109140578,0:0.000000;42:0.033895;1337:0.000000,-0.07971165933593327,-0.08715914288829463
BpowD,B^D,8,7,N_tens,3,0.011069860691715366,0.0,0.0332095820751461,0:0.033210;42:0.000000;1337:0.000000,-0.07986713356681142,-0.06784788695036971
BpowD,B^D,9,8,N_tens,3,0.011618010024089827,0.0,0.03485403007225418,0:0.000000;42:0.034854;1337:0.000000,-0.08253549072486545,-0.07722490179068862
BpowD,B^D,10,9,N_tens,3,0.01720131893906882,0.0,0.032952191354319156,0:0.018652;42:0.032952;1337:0.000000,-0.08595405124814832,-0.06810420937616361
BpowD,B^D,0,input,O[0],3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,1,0,O[0],3,0.019471880925202825,0.0,0.05841564277560848,0:0.000000;42:0.058416;1337:0.000000,0.7210518805978299,0.6839359934721639
BpowD,B^D,2,1,O[0],3,0.5269999535506383,0.39214098887392107,0.6567245730682538,0:0.392141;42:0.656725;1337:0.532134,0.7343479293411385,0.876489089127733
BpowD,B^D,3,2,O[0],3,0.29009865004729035,0.09716677924452292,0.6218163676305043,0:0.097167;42:0.621816;1337:0.151313,0.7272784869547153,0.8223904739060236
BpowD,B^D,4,3,O[0],3,0.23862563381304247,0.07422642671905676,0.5288081660653479,0:0.112842;42:0.528808;1337:0.074226,0.7048001900024827,0.7897077557660847
BpowD,B^D,5,4,O[0],3,0.15579181842343864,0.0,0.4324697260015074,0:0.034906;42:0.432470;1337:0.000000,0.7056415785993794,0.7661247461897615
BpowD,B^D,6,5,O[0],3,0.1478650689451324,0.012454823169863209,0.39204750980830144,0:0.012455;42:0.392048;1337:0.039093,0.6972482697007308,0.7533620630327532
BpowD,B^D,7,6,O[0],3,0.1483704572146343,0.036880568509702887,0.3641989546969547,0:0.036881;42:0.364199;1337:0.044032,0.6940949971906417,0.7484947664258016
BpowD,B^D,8,7,O[0],3,0.1263270639513455,0.006883183844731594,0.34966504163779555,0:0.022433;42:0.349665;1337:0.006883,0.6892169395888099,0.7389440613516894
BpowD,B^D,9,8,O[0],3,0.11481216681985128,0.0,0.3374724140835521,0:0.006964;42:0.337472;1337:0.000000,0.6885524244688588,0.7318673556208136
BpowD,B^D,10,9,O[0],3,0.13272336132991033,0.01156346477513292,0.32487563071255976,0:0.061731;42:0.324876;1337:0.011563,0.6776144249802764,0.7309295953675603
