source_checkpoint,seed,num_layers,model_condition,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_tag,BpowD,B^D,-0.09147900978602044,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_tag,NdivBpowD,N / B^D,-0.17010265498921603,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_tag,floorNdivBpowD,floor(N / B^D),-0.17028086040676915,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.009377590023488725,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_ones,BpowD,B^D,0.8837193821063742,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_ones,NdivBpowD,N / B^D,0.9622588974679435,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_ones,floorNdivBpowD,floor(N / B^D),0.962296427837136,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5411939419122224,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[0],BpowD,B^D,0.7158046835238988,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[0],NdivBpowD,N / B^D,0.9001105845437267,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[0],floorNdivBpowD,floor(N / B^D),0.900213809618578,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.49840908860076283,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[1],BpowD,B^D,0.5271449864392167,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[1],NdivBpowD,N / B^D,0.8075574297701718,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[1],floorNdivBpowD,floor(N / B^D),0.807673557923439,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.40638124868206216,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_hundreds,BpowD,B^D,-0.06358098422104361,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_hundreds,NdivBpowD,N / B^D,-0.24142208845343002,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.2397985553322703,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.568862483541516,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tens,BpowD,B^D,-0.0796635819726561,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tens,NdivBpowD,N / B^D,-0.21851054919544435,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tens,floorNdivBpowD,floor(N / B^D),-0.21726934705883486,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.4936228499709445,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_ones,BpowD,B^D,-0.10374492776287307,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_ones,NdivBpowD,N / B^D,-0.16626491982870745,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_ones,floorNdivBpowD,floor(N / B^D),-0.16571146951532603,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.32689396658999953,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tag,BpowD,B^D,-0.12450128566170257,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tag,NdivBpowD,N / B^D,-0.22889993518779597,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tag,floorNdivBpowD,floor(N / B^D),-0.22798554883635913,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.431038133341857,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tens,BpowD,B^D,-0.13356682342396947,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tens,NdivBpowD,N / B^D,-0.18553225514762484,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tens,floorNdivBpowD,floor(N / B^D),-0.18569821900649428,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.0638075807825909,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_ones,BpowD,B^D,-0.08758702987675701,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_ones,NdivBpowD,N / B^D,-0.17209180918679018,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_ones,floorNdivBpowD,floor(N / B^D),-0.17227220547342403,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.00315053229206117,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_tag,BpowD,B^D,-0.09266000226983903,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_tag,NdivBpowD,N / B^D,-0.17333007055780122,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_tag,floorNdivBpowD,floor(N / B^D),-0.17350901312978545,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.011407198137039365,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_ones,BpowD,B^D,0.8289262815623177,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_ones,NdivBpowD,N / B^D,0.9520761957350246,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_ones,floorNdivBpowD,floor(N / B^D),0.9521165155017902,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5353543247988233,3848,5
