seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,0,input,N_hundreds,-0.05694213932403334,-0.05694213932403325,-9.020562075079397e-17,1.0569421393240332,-8.534584571345118e-17,0.0
1337,BpowD,B^D,0,input,N_hundreds,-0.06462904627120829,-0.06462904627120869,4.0245584642661925e-16,1.0646290462712087,3.780244845246273e-16,3.780244845246273e-16
0,BpowD,B^D,1,0,N_hundreds,-0.06358098422104357,-0.06358098422104366,9.71445146547012e-17,1.0635809842210437,9.133720524897208e-17,9.133720524897208e-17
42,BpowD,B^D,1,0,N_hundreds,-0.0407226848072479,-0.05694213932403325,0.016219454516785345,1.0569421393240332,0.015345640894929676,0.015345640894929676
1337,BpowD,B^D,1,0,N_hundreds,-0.06462904627120883,-0.06462904627120883,0.0,1.064629046271209,0.0,0.0
0,BpowD,B^D,2,1,N_hundreds,-0.06358098422104294,-0.06358098422104361,6.661338147750939e-16,1.0635809842210435,6.263122645643801e-16,6.263122645643801e-16
42,BpowD,B^D,2,1,N_hundreds,-0.05694213932403316,-0.05694213932403334,1.8041124150158794e-16,1.0569421393240332,1.7069169142690236e-16,1.7069169142690236e-16
1337,BpowD,B^D,2,1,N_hundreds,-0.06462904627120847,-0.06462904627120825,-2.220446049250313e-16,1.0646290462712082,-2.0856523284117376e-16,0.0
0,BpowD,B^D,3,2,N_hundreds,-0.06358098422104361,-0.06358098422104579,2.1788126858268697e-15,1.0635809842210457,2.0485630320126553e-15,2.0485630320126553e-15
42,BpowD,B^D,3,2,N_hundreds,-0.05694213932403329,-0.05694213932403351,2.220446049250313e-16,1.0569421393240335,2.100820817561875e-16,2.100820817561875e-16
