seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,0,input,D_ones,0.1076061744454607,0.1215593364859459,-0.013953162040485204,0.8784406635140541,-0.015884011999931703,0.0
1337,BpowD,B^D,0,input,D_ones,0.33860478890808576,0.33860478890808576,0.0,0.6613952110919142,0.0,0.0
0,BpowD,B^D,1,0,D_ones,0.9991126477586253,0.8837193821063742,0.11539326565225105,0.11628061789362576,0.9923688723241352,0.9923688723241352
42,BpowD,B^D,1,0,D_ones,0.9955646091181934,0.888579206686925,0.10698540243126842,0.11142079331307497,0.9601924313234442,0.9601924313234442
1337,BpowD,B^D,1,0,D_ones,0.9995441928277708,0.9654129794579553,0.034131213369815505,0.034587020542044655,0.9868214386470479,0.9868214386470479
0,BpowD,B^D,2,1,D_ones,0.9723828475334549,0.8289262815623177,0.1434565659711372,0.17107371843768227,0.838565779017627,0.838565779017627
42,BpowD,B^D,2,1,D_ones,0.8436873854181746,0.8325691115700163,0.011118273848158222,0.16743088842998366,0.06640515350790645,0.06640515350790645
1337,BpowD,B^D,2,1,D_ones,0.9958413411731927,0.9455791693049784,0.050262171868214245,0.05442083069502157,0.9235833269412449,0.9235833269412449
0,BpowD,B^D,3,2,D_ones,0.9545000265776669,0.8028779189118985,0.15162210766576834,0.19712208108810148,0.769178708081935,0.769178708081935
42,BpowD,B^D,3,2,D_ones,0.82761887237796,0.8021713510913348,0.025447521286625197,0.19782864890866525,0.12863415600828354,0.12863415600828354
1337,BpowD,B^D,3,2,D_ones,0.9889720699596063,0.9348830355549916,0.054089034404614655,0.06511696444500836,0.8306442854886632,0.8306442854886632
0,BpowD,B^D,4,3,D_ones,0.9327602880950391,0.7889260618569763,0.14383422623806275,0.21107393814302366,0.6814400086693825,0.6814400086693825
42,BpowD,B^D,4,3,D_ones,0.7884716199241992,0.7603757585978503,0.028095861326348892,0.23962424140214966,0.11724966206234945,0.11724966206234945
1337,BpowD,B^D,4,3,D_ones,0.9788686300223617,0.9213637121561196,0.05750491786624212,0.07863628784388044,0.7312771170023792,0.7312771170023792
0,BpowD,B^D,5,4,D_ones,0.9200415352633711,0.7867636096596773,0.13327792560369378,0.2132363903403227,0.6250242999845562,0.6250242999845562
42,BpowD,B^D,5,4,D_ones,0.7828092230603758,0.764038453678398,0.01877076938197786,0.23596154632160204,0.07955012024033092,0.07955012024033092
1337,BpowD,B^D,5,4,D_ones,0.9734338745026998,0.9153716972508004,0.05806217725189944,0.08462830274919964,0.6860846237690683,0.6860846237690683
0,BpowD,B^D,6,5,D_ones,0.9225022136799781,0.7884149499349747,0.13408726374500335,0.21158505006502526,0.6337274949425541,0.6337274949425541
42,BpowD,B^D,6,5,D_ones,0.7849862271095669,0.7464071613851965,0.03857906572437042,0.25359283861480353,0.152129949469789,0.152129949469789
1337,BpowD,B^D,6,5,D_ones,0.9688715363817,0.9104302778351088,0.05844125854659121,0.08956972216489123,0.6524666721529534,0.6524666721529534
0,BpowD,B^D,7,6,D_ones,0.9112917717518959,0.7729262874864055,0.13836548426549045,0.22707371251359454,0.6093417099401444,0.6093417099401444
42,BpowD,B^D,7,6,D_ones,0.7653627196925997,0.7595109979024433,0.005851721790156472,0.24048900209755675,0.02433259624813389,0.02433259624813389
1337,BpowD,B^D,7,6,D_ones,0.9690783449042716,0.9048028560610593,0.06427548884321233,0.09519714393894074,0.6751829538545662,0.6751829538545662
0,BpowD,B^D,8,7,D_ones,0.8995351969324702,0.7617519874271664,0.13778320950530376,0.23824801257283357,0.5783184002980204,0.5783184002980204
42,BpowD,B^D,8,7,D_ones,0.7436225883180325,0.7471430694569765,-0.003520481138943987,0.2528569305430235,-0.013922818454624003,0.0
1337,BpowD,B^D,8,7,D_ones,0.9630828076100066,0.8964950070199944,0.06658780059001224,0.1035049929800056,0.6433293570956062,0.6433293570956062
0,BpowD,B^D,9,8,D_ones,0.8891936942903648,0.7574916877559436,0.1317020065344212,0.24250831224405645,0.5430824424767694,0.5430824424767694
42,BpowD,B^D,9,8,D_ones,0.7083626475197624,0.7418057749374355,-0.03344312741767308,0.2581942250625645,-0.12952701560063665,0.0
1337,BpowD,B^D,9,8,D_ones,0.9552928442283216,0.8954956477697493,0.05979719645857229,0.10450435223025067,0.5721981446937566,0.5721981446937566
0,BpowD,B^D,10,9,D_ones,0.900222863259434,0.7569625002032028,0.14326036305623124,0.24303749979679723,0.589457853936165,0.589457853936165
42,BpowD,B^D,10,9,D_ones,0.7605874113730915,0.7194862158119691,0.04110119556112235,0.28051378418803086,0.146521126154613,0.146521126154613
1337,BpowD,B^D,10,9,D_ones,0.9565781807487808,0.8887286352576476,0.0678495454911332,0.11127136474235244,0.6097664538242884,0.6097664538242884
0,BpowD,B^D,0,input,D_tag,-0.09826354696490336,-0.09826354696490336,0.0,1.0982635469649034,0.0,0.0
42,BpowD,B^D,0,input,D_tag,-0.08783133771992055,-0.08783133771992055,0.0,1.0878313377199205,0.0,0.0
1337,BpowD,B^D,0,input,D_tag,-0.13046239733120935,-0.13046239733120935,0.0,1.1304623973312093,0.0,0.0
0,BpowD,B^D,1,0,D_tag,-0.12503330757301628,-0.09147900978602044,-0.03355429778699584,1.0914790097860205,-0.030742045871843204,0.0
42,BpowD,B^D,1,0,D_tag,-0.05643146914658863,-0.044546670667896415,-0.011884798478692213,1.0445466706678963,-0.011377948743154696,0.0
1337,BpowD,B^D,1,0,D_tag,-0.09116068634858192,-0.06117314176806876,-0.029987544580513156,1.0611731417680688,-0.02825886125477087,0.0
0,BpowD,B^D,2,1,D_tag,-0.08877021360067502,-0.09266000226983903,0.003889788669164007,1.092660002269839,0.0035599259248838143,0.0035599259248838143
42,BpowD,B^D,2,1,D_tag,-0.06992338029731068,-0.043249403143513575,-0.02667397715379711,1.0432494031435136,-0.025568169100718602,0.0
1337,BpowD,B^D,2,1,D_tag,-0.06245166127222146,-0.05493434671096868,-0.0075173145612527775,1.0549343467109686,-0.007125860092327029,0.0
0,BpowD,B^D,3,2,D_tag,-0.08238469840203218,-0.08949148387208554,0.007106785470053362,1.0894914838720855,0.006523029849481368,0.006523029849481368
42,BpowD,B^D,3,2,D_tag,-0.05962349534403821,-0.05131843223269492,-0.00830506311134329,1.051318432232695,-0.00789966470359104,0.0
1337,BpowD,B^D,3,2,D_tag,-0.054833982310883524,-0.05165452300454922,-0.0031794593063343007,1.0516545230045493,-0.0030232925706920074,0.0
0,BpowD,B^D,4,3,D_tag,-0.087968960588928,-0.10575074449705699,0.017781783908128984,1.105750744497057,0.0160811864668623,0.0160811864668623
42,BpowD,B^D,4,3,D_tag,-0.0474503725747325,-0.042819216781852784,-0.004631155792879718,1.0428192167818529,-0.004440995829719648,0.0
1337,BpowD,B^D,4,3,D_tag,-0.06338574191020041,-0.0514517774982,-0.011933964412000411,1.0514517774982,-0.011349987386388571,0.0
0,BpowD,B^D,5,4,D_tag,-0.08596527244429142,-0.10149714224843365,0.015531869804142229,1.1014971422484336,0.01410069005938387,0.01410069005938387
